,label,begin,end,dynasty,monarch,monarchName,reignTitle,uri,last_year
189,吴天纪,277,280.0,吴,末帝,孙皓,天纪,http://data.library.sh.cn/authority/temporal/4c1bfwv44jpomjai,3
190,晋泰始,265,274.0,晋,武帝,司马炎,泰始,http://data.library.sh.cn/authority/temporal/759swioojkr47dgu,9
191,晋咸宁,275,280.0,晋,武帝,司马炎,咸宁,http://data.library.sh.cn/authority/temporal/7fpfs8yvnbjnpssk,5
192,晋太康,280,280.0,晋,武帝,司马炎,太康,http://data.library.sh.cn/authority/temporal/fo3y5vgrykmpbupv,0
193,晋太康,280,289.0,晋,武帝,司马炎,太康,http://data.library.sh.cn/authority/temporal/dhqeffghxbcfk7it,9
194,晋,281,420.0,晋,,,,http://data.library.sh.cn/authority/temporal/e4q96sxq5sqpcio3,139
195,西晋,281,316.0,西晋,,,,http://data.library.sh.cn/authority/temporal/xn8xoiqi5tl3kcez,35
196,晋太熙,290,290.0,晋,武帝,司马炎,太熙,http://data.library.sh.cn/authority/temporal/deeaa4z6p9ofqmh9,0
197,晋永熙,290,290.0,晋,惠帝,司马衷,永熙,http://data.library.sh.cn/authority/temporal/6tb99ya9zw7v4f44,0
198,晋永平,291,291.0,晋,惠帝,司马衷,永平,http://data.library.sh.cn/authority/temporal/882tsrnyqeaqf8kl,0
199,晋元康,291,299.0,晋,惠帝,司马衷,元康,http://data.library.sh.cn/authority/temporal/gvcanqzw4df6vt96,8
200,太平,300,301.0,,,赵廞,太平,http://data.library.sh.cn/authority/temporal/fndeuqjy6s4muptx,1
201,晋永康,300,301.0,晋,惠帝,司马衷,永康,http://data.library.sh.cn/authority/temporal/duhjgiq3oge93xwq,1
202,建始,301,301.0,,,司马伦,建始,http://data.library.sh.cn/authority/temporal/5hbecpo2dyi1kshz,0
203,晋永宁,301,302.0,晋,惠帝,司马衷,永宁,http://data.library.sh.cn/authority/temporal/cykiu2il6yez449g,1
204,晋太安,302,303.0,晋,惠帝,司马衷,太安,http://data.library.sh.cn/authority/temporal/33x53k6wjjn6wr4a,1
205,神凤,303,303.0,,,刘尼,神凤,http://data.library.sh.cn/authority/temporal/xx8f4kd2a9c5neto,0
206,成建初,303,303.0,成;汉,,李特,建初,http://data.library.sh.cn/authority/temporal/l7nrukl9xheagqqc,0
207,成建初,303,304.0,成;汉,,李雄,建初,http://data.library.sh.cn/authority/temporal/p3pa7iwz6gu6avjc,1
208,成建初,303,303.0,成;汉,,李流,建初,http://data.library.sh.cn/authority/temporal/9dpkuske13155x1p,0
209,汉元熙,304,308.0,前赵;汉,,刘渊,元熙,http://data.library.sh.cn/authority/temporal/nim8jysvqhx76sl2,4
210,成建兴,304,306.0,成;汉,,李雄,建兴,http://data.library.sh.cn/authority/temporal/xb2939t9nzb9e88x,2
211,晋永安,304,305.0,晋,惠帝,司马衷,永安,http://data.library.sh.cn/authority/temporal/qvax2ffj69wnlesp,1
212,晋永安,305,305.0,晋,惠帝,司马衷,永安,http://data.library.sh.cn/authority/temporal/348e75qfbzegxsui,0
